model_name,doc_id,call_success,fail_reason,elapsed_sec,load_sec,eval_tps,vram_mib,prompt_tokens,completion_tokens,pydantic_valid,tool_needed,num_tool_calls,tool_call_logs,raw_response,type_group,category_score,tool_calls_score,tool_name_score,tool_args_ratio,is_uncertain_score,quality_score,score_breakdown
llama3.1:8b,DOC-01,True,,6.0693,3.1938,65.42,5027.5,1446,146,True,False,0,,"{""summary_bullets"": [""임직원 본인 및 직계존비속의 경조 발생 시 경조금과 특별 휴가가 지급됩니다."", ""근속 연수 1년 이상 임직원을 대상으로 매년 종합건강검진 비용을 전액 지원합니다."", ""연간 120만 원 상당의 복지포인트(분기별 30만 원씩 자동 지급)가 부여되며, 이는 자기계발(도서 구매, 학원 수강), 운동, 문화생활 등에 사용할 수 있습니다.""], ""categories"": [""복지""], ""is_uncertain"": false, ""tool_calls"": []}",NORMAL,0.6667,,,,1.0,0.8148,"{""summary_bullets"": {""raw"": 0.8147, ""weight"": 0.55, ""weighted"": 0.4481, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.4801, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.25, ""weighted"": 0.1667}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
llama3.1:8b,DOC-02,True,,2.0737,0.007,66.56,5027.5,1216,114,True,False,0,,"{""summary_bullets"": [""‣ 코드 작성 표준: PEP8 규격 준수, Ruff Linter 검사 통과"", ""‣ 테스트 코드 작성: 단위 테스트 작성 의무화, CI 파이프라인에서 테스트 실패 시 자동 배포 중단"", ""‣ Git Branch 전략: feature/{issue-id} 형식, Conventional Commits 규격 준수""], ""categories"": [""개발""], ""is_uncertain"": false, ""tool_calls"": []}",NORMAL,1.0,,,,1.0,0.8844,"{""summary_bullets"": {""raw"": 0.7899, ""weight"": 0.55, ""weighted"": 0.4344, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.2324, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.25, ""weighted"": 0.25}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
llama3.1:8b,DOC-03,True,,3.1861,0.0077,64.12,5027.5,1312,181,True,False,0,,"{""summary_bullets"": [""사내 카페테리아 음료 주문 시 '사내 모바일 앱 스마트 오더' 기능이 도입되며, 현장 카드 결제도 계속 지원되지만 피크 타임에는 모바일 결제 전용 픽업대가 우선 운영됩니다."", ""구내식당 점심 운영 시간이 11시부터 14시까지 총 3시간으로 확대되며, 부서별로 자율 시차 점심제를 활용하여 분산 방문해 주시기 바랍니다."", ""개인 텀블러나 다회용 컵을 가져오시는 임직원분들께는 카페 음료 500원 할인 혜택이 적용됩니다.""], ""categories"": [""경영지원""], ""is_uncertain"": false, ""tool_calls"": []}",NORMAL,0.6667,,,,1.0,0.8854,"{""summary_bullets"": {""raw"": 0.943, ""weight"": 0.55, ""weighted"": 0.5187, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.4304, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.25, ""weighted"": 0.1667}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.2, ""weighted"": 0.2}}"
llama3.1:8b,DOC-04,True,,2.7733,0.0082,63.77,5027.5,1353,152,True,False,0,,"{""summary_bullets"": [""임직원은 2026년 10월 15일까지 사내 통합 업무 시스템 접속 시 전용 보안 VPN 클라이언트를 반드시 활성화해야 합니다."", ""계정 로그인 시 기존 비밀번호 외에 SMS 또는 모바일 OTP 앱을 통한 2차 인증(MFA) 절차를 필수로 거쳐야 합니다."", ""보안성이 검증되지 않은 외부 카페, 대중교통 등 공공 Wi-Fi 환경에서의 사내 시스템 직결 접속은 엄격히 금지됩니다.""], ""categories"": [""보안""], ""is_uncertain"": false, ""tool_calls"": []}",TOOL_CALLING,1.0,0.0,0.0,0.0,1.0,0.4869,"{""tool_calls"": {""raw"": 0.0, ""weight"": 0.5, ""weighted"": 0.0, ""tool_name_score"": 0.0, ""tool_args_ratio"": 0.0}, ""summary_bullets"": {""raw"": 0.9562, ""weight"": 0.3, ""weighted"": 0.2869, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.5623, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
llama3.1:8b,DOC-05,True,,4.5544,0.0115,64.18,5027.5,3206,232,True,True,1,"create_jira_ticket({""project_key"": ""DEV"", ""issue_type"": ""Task"", ""summary"": ""결제 인프라 DB 커넥션 풀 고갈 장애 원인 분석 및 회고 보고서 후속 조치"", ""priority"": ""High""}) -> DEV 프로젝트에 '결제 인프라 DB 커넥션 풀 고갈 장애 원인 분석 및 회고 보고서 후속 조치' 티켓 생성 완료 (우선순위: High)","{""summary_bullets"": [""결제 API 서버의 응답 지연 및 HTTP 500 에러가 발생하여 결제 시도의 35%가 실패했습니다."", ""원인은 정기 결제 트래픽 폭증 시 Payment-DB의 커넥션 풀 모니터링 누락 및 슬로우 쿼리 누적 때문입니다."", ""재발 방지를 위해 결제 조회 API의 DB 복합 인덱스 재설계 및 쿼리 최적화 작업을 진행하고, DB 커넥션 풀 사용률이 80% 초과 시 자동으로 Pod를 증설하는 Auto-scaling 정책을 재설정합니다.""], ""categories"": [""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""create_jira_ticket"", ""arguments"": {""project_key"": ""DEV"", ""issue_type"": ""Task"", ""summary"": ""결제 인프라 DB 커넥션 풀 고갈 장애 원인 분석 및 회고 보고서 후속 조치"", ""priority"": ""High""}}]}",TOOL_CALLING,1.0,0.4,1.0,0.0,1.0,0.6429,"{""tool_calls"": {""raw"": 0.4, ""weight"": 0.5, ""weighted"": 0.2, ""tool_name_score"": 1.0, ""tool_args_ratio"": 0.0}, ""summary_bullets"": {""raw"": 0.8096, ""weight"": 0.3, ""weighted"": 0.2429, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.4294, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
llama3.1:8b,DOC-06,True,,6.2116,0.0101,62.85,5027.5,3223,343,True,True,1,"create_calendar_event({""title"": ""2026년 3분기 전사 IT 인프라 정기 점검 및 시스템 일시 중단 안내"", ""start_time"": ""2026-09-19T22:00:00"", ""end_time"": ""2026-09-20T04:00:00"", ""description"": ""정기 점검은 2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 6시간 동안 진행됩니다. 점검 대상은 사내 메일, 그룹웨어(GW), ERP 시스템, 사내 Confluence 및 Jira 접속입니다. 점검 완료 직후 단위 테스트를 거쳐 일요일 새벽 04시 30분 이전까지 모든 서비스를 정상 재개할 예정입니다.""}) -> 일정 '2026년 3분기 전사 IT 인프라 정기 점검 및 시스템 일시 중단 안내'이(가) 2026-09-19T22:00:00~2026-09-20T04:00:00에 성공적으로 등록되었습니다. (Event ID: #9999)","{""summary_bullets"": [""정기 점검은 2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 6시간 동안 진행됩니다."", ""점검 대상은 사내 메일, 그룹웨어(GW), ERP 시스템, 사내 Confluence 및 Jira 접속입니다."", ""점검 완료 직후 단위 테스트를 거쳐 일요일 새벽 04시 30분 이전까지 모든 서비스를 정상 재개할 예정입니다.""], ""categories"": [""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""create_calendar_event"", ""arguments"": {""title"": ""2026년 3분기 전사 IT 인프라 정기 점검 및 시스템 일시 중단 안내"", ""start_time"": ""2026-09-19T22:00:00"", ""end_time"": ""2026-09-20T04:00:00"", ""description"": ""정기 점검은 2026년 9월 19일(토) 22:00부터 2026년 9월 20일(일) 04:00까지 6시간 동안 진행됩니다. 점검 대상은 사내 메일, 그룹웨어(GW), ERP 시스템, 사내 Confluence 및 Jira 접속입니다. 점검 완료 직후 단위 테스트를 거쳐 일요일 새벽 04시 30분 이전까지 모든 서비스를 정상 재개할 예정입니다.""}}]}",TOOL_CALLING,1.0,0.4,1.0,0.0,1.0,0.647,"{""tool_calls"": {""raw"": 0.4, ""weight"": 0.5, ""weighted"": 0.2, ""tool_name_score"": 1.0, ""tool_args_ratio"": 0.0}, ""summary_bullets"": {""raw"": 0.8234, ""weight"": 0.3, ""weighted"": 0.247, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.567, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
llama3.1:8b,DOC-07,True,,4.5288,0.0076,63.76,5027.5,3161,240,True,True,2,"send_slack_notification({""channel"": ""#sec-alert"", ""title"": ""보안 취약점 긴급 공지"", ""urgency"": ""HIGH""}) -> 슬랙 #sec-alert 채널로 '보안 취약점 긴급 공지'(HIGH) 알림 발송 완료 | create_jira_ticket({""priority"": ""Highest"", ""project_key"": ""SEC"", ""issue_type"": ""Bug"", ""summary"": ""Log4j 취약점 긴급 패치 작업""}) -> SEC 프로젝트에 'Log4j 취약점 긴급 패치 작업' 티켓 생성 완료 (우선순위: Highest)","{""summary_bullets"": [""CVE-2026-9999로 명명된 외부 오픈소스 인증 라이브러리의 RCE(원격 코드 실행) 제로데이 취약점이 공개되었습니다."", ""해당 버전의 라이브러리가 당사 회원 인증 API 서버 및 결제 대행 내부 모듈에 포함되어 있습니다."", ""해당 라이브러리를 안전한 패치 버전(v2.18.0 이상)으로 긴급 패키지 업그레이드하고 빌드 파이프라인을 재배포해야 합니다.""], ""categories"": [""보안""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""channel"": ""#sec-alert"", ""title"": ""보안 취약점 긴급 공지"", ""urgency"": ""HIGH""}}, {""tool_name"": ""create_jira_ticket"", ""arguments"": {""priority"": ""Highest"", ""project_key"": ""SEC"", ""issue_type"": ""Bug"", ""summary"": ""Log4j 취약점 긴급 패치 작업""}}]}",TOOL_CALLING,0.6667,1.0,1.0,1.0,1.0,0.9095,"{""tool_calls"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5, ""tool_name_score"": 1.0, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.8095, ""weight"": 0.3, ""weighted"": 0.2428, ""keyword_match_recall"": 0.6667, ""rouge_1_2_mean"": 0.4286, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.1, ""weighted"": 0.0667}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
llama3.1:8b,DOC-08,True,,4.0842,0.0134,62.96,5027.5,3197,207,True,True,1,"send_slack_notification({""channel"": ""#team-notice"", ""title"": ""원격근무 사전 승인 절차 및 보안 준수 수칙"", ""urgency"": ""LOW""}) -> 슬랙 #team-notice 채널로 '원격근무 사전 승인 절차 및 보안 준수 수칙'(LOW) 알림 발송 완료","{""summary_bullets"": [""원격근무 시 코어 타임(10:00~16:00) 동안 슬랙(Slack) 메시지 및 메일 수신 반응 상태를 유지해야 합니다."", ""사외 근무 시에는 프라이버시 필터 착용이 의무화되며, 카페 등에서의 업무는 승인된 모바일 테더링을 통해서만 가능합니다."", ""현재 정규직 임직원은 주 2회까지 거점 오피스(강남/판교) 근무를 신청할 수 있습니다.""], ""categories"": [""보안"", ""인프라""], ""is_uncertain"": false, ""tool_calls"": [{""tool_name"": ""send_slack_notification"", ""arguments"": {""channel"": ""#team-notice"", ""title"": ""원격근무 사전 승인 절차 및 보안 준수 수칙"", ""urgency"": ""LOW""}}]}",TOOL_CALLING,0.5,1.0,1.0,1.0,1.0,0.9356,"{""tool_calls"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5, ""tool_name_score"": 1.0, ""tool_args_ratio"": 1.0}, ""summary_bullets"": {""raw"": 0.9519, ""weight"": 0.3, ""weighted"": 0.2856, ""keyword_match_recall"": 1.0, ""rouge_1_2_mean"": 0.5185, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 1.0, ""human_eval_available"": true}, ""category"": {""raw"": 0.5, ""weight"": 0.1, ""weighted"": 0.05}, ""is_uncertain_check"": {""raw"": 1.0, ""weight"": 0.1, ""weighted"": 0.1}}"
llama3.1:8b,DOC-09,True,,1.9252,0.0067,63.48,5027.5,1332,97,True,False,0,,"{""summary_bullets"": [""현재 시점 기준으로, 서버 증설 예산 상한선은 미정입니다."", ""투입 인원수는 5명에서 3명으로 줄어들 것으로 보입니다."", ""연기된 테스트 완료 마감 날짜는 최소 2개월 이상 순연된 것으로 보입니다.""], ""categories"": [""경영지원""], ""is_uncertain"": true, ""tool_calls"": []}",UNCERTAIN,0.6667,,,,1.0,0.7316,"{""is_uncertain_detected"": {""raw"": 1.0, ""weight"": 0.5, ""weighted"": 0.5}, ""summary_bullets"": {""raw"": 0.3276, ""weight"": 0.3, ""weighted"": 0.0983, ""keyword_match_recall"": 0.0, ""rouge_1_2_mean"": 0.2261, ""bullet_count_exact_3"": 1.0, ""human_eval_score"": 0.35, ""human_eval_available"": true}, ""category"": {""raw"": 0.6667, ""weight"": 0.2, ""weighted"": 0.1333}}"
llama3.1:8b,DOC-10,True,,2.5244,0.008,63.56,5027.5,1116,143,True,False,0,,"{""summary_bullets"": [""사내 콘도 및 휴양시설 신청 안내에 대한 정보입니다. 신청 대상은 근속 연수 1년 이상 정규직 임직원이며, 1차 추첨 신청은 10월 1일부터 10월 10일까지 사내 복지 포털을 통해 접수받습니다. 제휴 시설 및 성수기 이용 요금은 1박당 임직원 부담금이 5만 원이며, 연간 최대 이용 가능 일수는 3일로 제한됩니다.""], ""categories"": [""복지""], ""is_uncertain"": false, ""tool_calls"": []}",OUT_OF_BOUNDS,,,,,0.0,0.0,"{""is_uncertain_detected"": {""raw"": 0.0, ""weight"": 0.5, ""weighted"": 0.0}, ""refusal_summary"": {""raw"": 0.0, ""weight"": 0.5, ""weighted"": 0.0}}"
